query,intent
헬로우,0
헬로,0
안부 인사드립니다.,0
먼저 인사하려고 했는데 짝남이 먼저 인사해줬어. 더 떨렸겠어요.,0
먼저 인사할까 했는데 짝녀가 먼저 인사해줬어. 기분 좋았겠네요.,0
각자 집에 인사드리러 가 제가 더 떨리네요.,0
이별의 마무리 가벼운 안부 인사일 거예요.,0
용기내서 새해인사 했네 이제 연락하지 마세요.,0
오늘 마지막 인사를 하러가네 미련없길 바랄게요.,0
오늘 마지막 인사하러 갑니다. 미련없이 정리했긴 바랍니다.,0
내 마음에 마지막 인사 마음이랑 잘 인사해요.,0
먼저 잘게 잘자 안녕히 주무세요.,0
개쓰레기,1
가락지빵 먹고싶어요,2
가래떡 원해요,2
가래떡 하고 싶은데,2
가루우유 할수 있을까요?,2
가지나물 원해요,2
간고등어 해주세요,2
간장 원해요,2
갈비 해줘,2
감자튀기 하려구요,2
개떡 할 수 있나요?,2
라면떡볶이 내일주문 가능한가요?,2
겨울냉면 예약 취소할게요,3
경편 예약 변경하고싶어요,3
동치미 취소,3
잡탕밥 예약 취소 할수 있을까요?,3
